City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sola,VU,79.39,clear sky,-13.8833,167.55,Leumerus Bungalows
1,Namatanai,PG,77.68,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
5,Manono,CD,83.07,few clouds,-7.3,27.4167,Hotel hewa bora
7,Dubrovnik,HR,83.84,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
8,Kapaa,US,76.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Saint-Philippe,RE,71.22,scattered clouds,-21.3585,55.7679,Le four à pain
14,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
15,Homburg,DE,77.83,few clouds,49.3167,7.3333,Hotel Stadt Homburg Sleep and Sense GmbH
16,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
18,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
22,Liwale,TZ,78.39,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
23,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
25,Kutum,SD,78.35,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
27,Keningau,MY,72.46,overcast clouds,5.3378,116.1602,Sabindo Hotel
28,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
30,Carberry,CA,73.63,overcast clouds,49.8689,-99.3602,Carberry Motor Inn
33,Sobolevo,RU,72.25,few clouds,54.4299,31.8996,
35,Rikitea,PF,73.11,light rain,-23.1203,-134.9692,People ThankYou
40,Azare,NG,72.48,moderate rain,11.6765,10.1948,Mallam Ayuba Compound
41,Mingshui,CN,83.98,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
43,Nikolskoye,RU,80.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
44,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
45,Ypsonas,CY,81.57,clear sky,34.6884,32.9574,Club Aphrodite
48,Moose Factory,CA,80.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
50,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
55,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
58,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
59,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
60,Bhag,PK,80.31,moderate rain,29.0415,67.8239,Bukhari hotl
64,Albany,US,79.95,overcast clouds,42.6001,-73.9662,
65,Jamestown,US,79.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
67,Kavaratti,IN,81.81,overcast clouds,10.5669,72.642,Green leaf
69,Butaritari,KI,81.43,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
70,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
71,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Looc,PH,80.11,overcast clouds,12.2605,121.9926,Cummings Highlands
75,Boundiali,CI,81.52,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
77,Meulaboh,ID,77.85,scattered clouds,4.1363,96.1285,Kost Pria
78,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
82,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
83,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
84,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Bucerias,MX,86.99,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
87,Manokwari,ID,77.29,clear sky,-0.8667,134.0833,Swiss Belhotel Manokwari
89,Bambous Virieux,MU,71.22,few clouds,-20.3428,57.7575,Casa Tia Villa
90,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
97,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Burla,IN,78.75,light rain,21.5,83.8667,Mona achariya
102,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
104,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
105,Poso,ID,75.36,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
107,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
108,Les Ponts-De-Ce,FR,81.07,scattered clouds,47.4231,-0.5248,Logis Hôtel Angers Sud Rest. Henriette
110,Bam,IR,87.84,overcast clouds,29.106,58.357,Bam Tourist Hotel
113,Sinnamary,GF,83.07,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
118,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
119,Ganzhou,CN,86.36,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
122,Vieques,PR,87.71,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
124,Mahebourg,MU,71.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Malartic,CA,77.11,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
128,Siocon,PH,77.61,moderate rain,7.7061,122.1353,ABS Hotel
129,Ambilobe,MG,70.65,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
131,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
