City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sola,VU,-13.8833,167.55,79.39,76,2,10.04,clear sky
1,Namatanai,PG,-3.6667,152.4333,77.68,85,25,6.53,scattered clouds
2,Kruisfontein,ZA,-34.0033,24.7314,55.69,83,99,11.52,light rain
3,Ushuaia,AR,-54.8,-68.3,42.42,81,20,19.57,few clouds
4,Cape Town,ZA,-33.9258,18.4232,58.08,81,75,19.57,broken clouds
5,Manono,CD,-7.3,27.4167,83.07,22,23,1.25,few clouds
6,Bluff,NZ,-46.6,168.3333,51.37,82,31,16.28,scattered clouds
7,Dubrovnik,HR,42.6481,18.0922,83.84,51,0,8.05,clear sky
8,Kapaa,US,22.0752,-159.319,76.12,88,9,9.35,clear sky
9,Hobart,AU,-42.8794,147.3294,48.06,77,61,6.91,broken clouds
10,Saint-Philippe,RE,-21.3585,55.7679,71.22,81,25,11.32,scattered clouds
11,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,11.5,clear sky
12,Valdivia,CL,-39.8142,-73.2459,44.69,67,59,2.53,broken clouds
13,San Patricio,US,28.017,-97.5169,93.09,55,95,5.39,overcast clouds
14,Komsomolskiy,UZ,40.4272,71.7189,79.52,22,0,4.61,clear sky
15,Homburg,DE,49.3167,7.3333,77.83,69,20,5.75,few clouds
16,Kahului,US,20.8947,-156.47,78.84,90,19,5.99,few clouds
17,Sitka,US,57.0531,-135.33,60.6,74,25,1.48,scattered clouds
18,Labuan,MY,5.2767,115.2417,82.76,83,20,2.3,few clouds
19,Busselton,AU,-33.65,115.3333,57.13,71,96,9.98,overcast clouds
20,Zhigansk,RU,66.7697,123.3711,55.09,73,97,7.02,overcast clouds
21,Vaini,TO,-21.2,-175.2,69.96,83,75,10.36,broken clouds
22,Liwale,TZ,-9.7667,37.9333,78.39,50,43,10.54,scattered clouds
23,Saint George,US,37.1041,-113.5841,87.44,47,0,4.0,clear sky
24,Hermanus,ZA,-34.4187,19.2345,55.8,86,99,13.85,light rain
25,Kutum,SD,14.2,24.6667,78.35,54,89,1.92,overcast clouds
26,Yar-Sale,RU,66.8333,70.8333,48.31,87,100,1.43,overcast clouds
27,Keningau,MY,5.3378,116.1602,72.46,97,98,1.57,overcast clouds
28,Atuona,PF,-9.8,-139.0333,77.04,75,29,24.32,scattered clouds
29,Airai,TL,-8.9266,125.4092,52.57,52,64,2.37,broken clouds
30,Carberry,CA,49.8689,-99.3602,73.63,76,91,10.63,overcast clouds
31,Ilulissat,GL,69.2167,-51.1,36.95,90,99,0.31,overcast clouds
32,Ayan,RU,56.45,138.1667,56.16,93,100,3.74,overcast clouds
33,Sobolevo,RU,54.4299,31.8996,72.25,65,21,4.47,few clouds
34,Codrington,AU,-38.2667,141.9667,43.12,88,24,9.78,few clouds
35,Rikitea,PF,-23.1203,-134.9692,73.11,77,55,14.25,light rain
36,Byron Bay,AU,-28.65,153.6167,50.7,74,0,6.62,clear sky
37,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,11.5,light rain
38,Provideniya,RU,64.3833,-173.3,40.96,79,27,5.41,scattered clouds
39,Vostok,RU,46.4856,135.8833,58.8,82,92,5.3,overcast clouds
40,Azare,NG,11.6765,10.1948,72.48,92,98,12.95,moderate rain
41,Mingshui,CN,36.7167,117.5,83.98,77,100,18.48,overcast clouds
42,Magadan,RU,59.5667,150.8,54.54,93,100,9.6,overcast clouds
43,Nikolskoye,RU,59.7035,30.7861,80.49,61,100,2.42,overcast clouds
44,Ponta Do Sol,PT,32.6667,-17.1,75.7,67,24,2.89,few clouds
45,Ypsonas,CY,34.6884,32.9574,81.57,74,0,10.36,clear sky
46,Thompson,CA,55.7435,-97.8558,66.36,82,75,10.36,broken clouds
47,Dikson,RU,73.5069,80.5464,41.74,80,100,2.75,overcast clouds
48,Moose Factory,CA,51.2585,-80.6094,80.6,50,0,4.61,clear sky
49,Port Hardy,CA,50.6996,-127.4199,59.18,94,100,4.61,fog
50,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,51,0,17.27,clear sky
51,Qaanaaq,GL,77.484,-69.3632,37.42,99,100,2.66,light rain
52,Carnarvon,AU,-24.8667,113.6333,64.08,43,99,20.11,overcast clouds
53,Port Alfred,ZA,-33.5906,26.891,57.18,86,86,7.0,overcast clouds
54,Mar Del Plata,AR,-38.0023,-57.5575,53.1,65,40,20.0,scattered clouds
55,Bathsheba,BB,13.2167,-59.5167,88.41,62,75,16.11,broken clouds
